--------------------------------------------------------------------------------
Akash Kank Process Logger : Mon Nov 20 00:26:55 2023
--------------------------------------------------------------------------------
{'name': 'MemCompression', 'username': None, 'pid': 4008, 'vms': 1.80859375}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 4016, 'vms': 16.2890625}
{'name': 'svchost.exe', 'username': None, 'pid': 4028, 'vms': 1.88671875}
{'name': 'svchost.exe', 'username': None, 'pid': 4036, 'vms': 1.71875}
{'name': 'svchost.exe', 'username': None, 'pid': 4124, 'vms': 3.51171875}
{'name': 'dllhost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 4136, 'vms': 6.21484375}
{'name': 'RtkBtManServ.exe', 'username': None, 'pid': 4144, 'vms': 2.015625}
{'name': 'svchost.exe', 'username': None, 'pid': 4152, 'vms': 1.40234375}
{'name': 'svchost.exe', 'username': None, 'pid': 4208, 'vms': 2.5859375}
{'name': 'svchost.exe', 'username': None, 'pid': 4216, 'vms': 2.390625}
{'name': 'svchost.exe', 'username': None, 'pid': 4224, 'vms': 9.546875}
{'name': 'svchost.exe', 'username': None, 'pid': 4244, 'vms': 2.6328125}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 4312, 'vms': 17.76953125}
{'name': 'Code.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 4332, 'vms': 89.69140625}
{'name': 'svchost.exe', 'username': None, 'pid': 4420, 'vms': 1.75}
{'name': 'svchost.exe', 'username': None, 'pid': 4492, 'vms': 9.2265625}
{'name': 'svchost.exe', 'username': None, 'pid': 4512, 'vms': 2.41015625}
{'name': 'spoolsv.exe', 'username': None, 'pid': 4536, 'vms': 8.51171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4572, 'vms': 18.29296875}
{'name': 'backgroundTaskHost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 4660, 'vms': 5.28515625}
{'name': 'SECOMN64.exe', 'username': None, 'pid': 4696, 'vms': 5.41015625}
{'name': 'QcShm.exe', 'username': None, 'pid': 4736, 'vms': 3.0625}
{'name': 'armsvc.exe', 'username': None, 'pid': 4792, 'vms': 1.640625}
{'name': 'svchost.exe', 'username': None, 'pid': 4804, 'vms': 20.640625}
{'name': 'svchost.exe', 'username': None, 'pid': 4824, 'vms': 33.02734375}
{'name': 'ETDService.exe', 'username': None, 'pid': 4840, 'vms': 1.41015625}
{'name': 'nssm.exe', 'username': None, 'pid': 4860, 'vms': 1.9609375}
{'name': 'mcafee-security-ft.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 4880, 'vms': 2.828125}
